# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	-1.15884467e-05	3.68083594e-03	-6.00051261e-06	-1.45887030e-05	8.58819042e-06
6e-08           	3.45462461e-04	2.60637811e+07	4.31930591e+03	2.15965330e+03	2.15965261e+03
1.32e-07        	-5.19165355e-05	-1.40388769e+07	-9.89990391e+03	-4.94995201e+03	-4.94995190e+03
2.184e-07       	-3.94454282e-06	-2.85292294e+04	-7.56796361e+02	-3.78398184e+02	-3.78398177e+02
3.2207999e-07   	-4.64210163e-05	6.53065122e+02	-1.46415817e+02	-7.32079551e+01	-7.32078623e+01
4.4649599e-07   	-3.96635852e-05	4.11072274e+03	-5.87498853e+01	-2.93749823e+01	-2.93749030e+01
5.9579518e-07   	-3.46394250e-05	3.02081153e+03	-1.60901888e+02	-8.04509788e+01	-8.04509095e+01
7.7495421e-07   	-3.32707577e-05	1.74773024e+03	-4.26616096e+01	-2.13308381e+01	-2.13307715e+01
9.8994505e-07   	-3.44623302e-05	1.10725065e+03	-2.32673599e+01	-1.16337144e+01	-1.16336455e+01
1.247934e-06    	-3.66720607e-05	8.17609723e+02	-7.95911922e+00	-3.97959628e+00	-3.97952294e+00
1.5575208e-06   	-3.75952752e-05	6.55903374e+02	-1.85071448e+01	-9.25361000e+00	-9.25353481e+00
1.929025e-06    	-3.81306683e-05	5.31663702e+02	-3.13675745e+01	-1.56838254e+01	-1.56837491e+01
2.3748299e-06   	-3.90295637e-05	4.18246827e+02	-1.98042941e+01	-9.90218606e+00	-9.90210801e+00
2.9097959e-06   	-3.98687740e-05	3.18628415e+02	-1.83657870e+01	-9.18293337e+00	-9.18285363e+00
3.5517549e-06   	-4.06169254e-05	2.37830179e+02	-1.69591364e+01	-8.47960884e+00	-8.47952760e+00
4.3221057e-06   	-4.13133361e-05	1.75313430e+02	-1.48870149e+01	-7.44354876e+00	-7.44346614e+00
5.2465266e-06   	-4.20139773e-05	1.29401324e+02	-1.29526345e+01	-6.47635929e+00	-6.47627526e+00
6.3558316e-06   	-4.26913396e-05	9.62838337e+01	-1.09717149e+01	-5.48590016e+00	-5.48581478e+00
7.6869975e-06   	-4.33365882e-05	7.24726532e+01	-9.08377331e+00	-4.54192999e+00	-4.54184332e+00
9.2843963e-06   	-4.39505157e-05	5.52347465e+01	-7.46993889e+00	-3.73501340e+00	-3.73492549e+00
1.1201274e-05   	-4.45303936e-05	4.26760690e+01	-5.94651514e+00	-2.97330210e+00	-2.97321304e+00
1.3501527e-05   	-4.50857790e-05	3.35285732e+01	-4.95700129e+00	-2.47854573e+00	-2.47845556e+00
1.6261831e-05   	-4.55735360e-05	2.60068420e+01	-4.05573812e+00	-2.02791463e+00	-2.02782349e+00
1.9574195e-05   	-4.60682998e-05	2.07324372e+01	-3.20163640e+00	-1.60086427e+00	-1.60077213e+00
2.354903e-05    	-4.65521920e-05	1.66152815e+01	-2.53458960e+00	-1.26734135e+00	-1.26724825e+00
2.831883e-05    	-4.70052344e-05	1.33635890e+01	-2.01129479e+00	-1.00569440e+00	-1.00560039e+00
3.4042588e-05   	-4.74325614e-05	1.08610648e+01	-1.60002415e+00	-8.00059508e-01	-7.99964643e-01
4.0911098e-05   	-4.78416098e-05	8.89528358e+00	-1.26905957e+00	-6.34577627e-01	-6.34481944e-01
4.91533e-05     	-4.82331125e-05	7.32059875e+00	-1.00984171e+00	-5.04969088e-01	-5.04872622e-01
5.904393e-05    	-4.86099733e-05	6.07988994e+00	-8.03396821e-01	-4.01747020e-01	-4.01649800e-01
7.0912663e-05   	-4.89759864e-05	5.12199715e+00	-6.37479820e-01	-3.18788886e-01	-3.18690934e-01
8.5155122e-05   	-4.93281398e-05	4.31112571e+00	-5.01450100e-01	-2.50774378e-01	-2.50675722e-01
0.00010224604   	-4.96726227e-05	3.69368594e+00	-3.94468025e-01	-1.97283685e-01	-1.97184340e-01
0.00012275508   	-5.00090574e-05	3.19833036e+00	-3.03705677e-01	-1.51902847e-01	-1.51802829e-01
