#             x               p
           -0.5      0.63420946


    -0.49607843      0.60335357


    -0.49215686      0.57298961


    -0.48823529      0.54575441


    -0.48431373      0.51943014


    -0.48039216      0.49301848


    -0.47647059      0.46751896


    -0.47254902      0.44194298
    -0.46862745        0.414122


    -0.46470588      0.38677368


    -0.46078431      0.36001392
    -0.45686275      0.33318428


    -0.45294118      0.30655003
    -0.44901961      0.28029792


    -0.44509804      0.25420441


    -0.44117647       0.2288003
     -0.4372549      0.20339963


    -0.43333333      0.17864543
    -0.42941176      0.15418168


     -0.4254902      0.13025203
    -0.42156863       0.1060007
    -0.41764706     0.082216301


    -0.41372549     0.058259455
    -0.40980392     0.034598536


    -0.40588235     0.011464503
    -0.40196078    -0.011234323


    -0.39803922    -0.033646175
    -0.39411765    -0.055840153
    -0.39019608    -0.077781665


    -0.38627451    -0.099687591
    -0.38235294      -0.1214525


    -0.37843137     -0.14296357
     -0.3745098     -0.16402914
    -0.37058824     -0.18493691


    -0.36666667     -0.20546969
     -0.3627451     -0.22563801
    -0.35882353     -0.24569129


    -0.35490196     -0.26517851
    -0.35098039     -0.28439984
    -0.34705882     -0.30354087


    -0.34313725      -0.3219223
    -0.33921569     -0.34013999
    -0.33529412      -0.3583086


    -0.33137255     -0.37627306
    -0.32745098     -0.39419913
    -0.32352941     -0.41210322


    -0.31960784      -0.4290785
    -0.31568627     -0.44593119
    -0.31176471     -0.46278278


    -0.30784314     -0.47841302
    -0.30392157      -0.4937041
           -0.3     -0.50902348


    -0.29607843     -0.52412982
    -0.29215686     -0.53909531
    -0.28823529     -0.55409712


    -0.28431373     -0.56922097
    -0.28039216     -0.58457571
    -0.27647059     -0.59997013
    -0.27254902      -0.6154035


    -0.26862745     -0.63002404
    -0.26470588     -0.64467377
    -0.26078431     -0.65937867


    -0.25686275     -0.67284017
    -0.25294118     -0.68535184
    -0.24901961     -0.69793717


    -0.24509804     -0.71052174
    -0.24117647     -0.72238844
     -0.2372549     -0.73433583
    -0.23333333     -0.74636274


    -0.22941176     -0.75816035
     -0.2254902     -0.76979755
    -0.22156863     -0.78153359
    -0.21764706     -0.79336716


    -0.21372549     -0.80336612
    -0.20980392     -0.81337132
    -0.20588235     -0.82348409


    -0.20196078     -0.83335079
    -0.19803922     -0.84249406
    -0.19411765     -0.85174597
    -0.19019608     -0.86110537


    -0.18627451      -0.8695464
    -0.18235294     -0.87739966
    -0.17843137     -0.88536651
     -0.1745098     -0.89344585


    -0.17058824     -0.90014141
    -0.16666667     -0.90668122
     -0.1627451      -0.9133453


    -0.15882353     -0.92014703
    -0.15490196     -0.92736131
    -0.15098039     -0.93468494
    -0.14705882     -0.94211707


    -0.14313725      -0.9494702
    -0.13921569     -0.95623988
    -0.13529412     -0.96313352
    -0.13137255     -0.97015025


    -0.12745098     -0.97635784
    -0.12352941       -0.980861
    -0.11960784     -0.98548995
    -0.11568627     -0.99024393


    -0.11176471     -0.99485187
    -0.10784314     -0.99923892
    -0.10392157      -1.0037645
           -0.1       -1.008428


   -0.096078431      -1.0127975
   -0.092156863      -1.0168683
   -0.088235294      -1.0210755
   -0.084313725      -1.0254183


   -0.080392157      -1.0285454
   -0.076470588      -1.0306564
    -0.07254902      -1.0329134
   -0.068627451      -1.0353157


   -0.064705882      -1.0372172
   -0.060784314      -1.0387632
   -0.056862745      -1.0404686
   -0.052941176      -1.0423328


   -0.049019608      -1.0436361
   -0.045098039      -1.0445229
   -0.041176471      -1.0455538
   -0.037254902      -1.0467286


   -0.033333333      -1.0462631
   -0.029411765      -1.0444955
   -0.025490196      -1.0428881
   -0.021568627      -1.0414409


   -0.017647059      -1.0387915
    -0.01372549      -1.0350824
  -0.0098039216      -1.0315128
  -0.0058823529      -1.0280826


  -0.0019607843      -1.0255054
   0.0019607843       -1.023751
   0.0058823529      -1.0221201
   0.0098039216      -1.0206126


     0.01372549      -1.0182261
    0.017647059      -1.0149019
    0.021568627       -1.011729
    0.025490196      -1.0087074


    0.029411765      -1.0049051
    0.033333333      -1.0001362
    0.037254902     -0.99549467
    0.041176471     -0.99098057


    0.045098039     -0.98655802
    0.049019608     -0.98221661
    0.052941176     -0.97800145
    0.056862745     -0.97391284


    0.060784314     -0.96844025
    0.064705882     -0.96115668
    0.068627451     -0.95398999
     0.07254902     -0.94694057


    0.076470588     -0.93959457
    0.080392157     -0.93184034
    0.084313725     -0.92417773
    0.088235294      -0.9166071


    0.092156863      -0.9101667
    0.096078431     -0.90495538
            0.1      -0.8998499
     0.10392157     -0.89485077


     0.10784314     -0.88909434
     0.11176471     -0.88267649
     0.11568627     -0.87635518
     0.11960784     -0.87013094


     0.12352941     -0.86234937
     0.12745098     -0.85361533
     0.13137255     -0.84498076
     0.13529412     -0.83644631


     0.13921569     -0.82687628
     0.14313725      -0.8169522
     0.14705882     -0.80710965
     0.15098039     -0.79734925


     0.15490196     -0.78627129
     0.15882353     -0.77505412
      0.1627451     -0.76391293


     0.16666667     -0.75289074
     0.17058824     -0.74273743
      0.1745098     -0.73264628
     0.17843137     -0.72261786


     0.18235294     -0.71240102
     0.18627451     -0.70158697
     0.19019608     -0.69083567
     0.19411765     -0.68014775


     0.19803922     -0.66871638
     0.20196078     -0.65667581
     0.20588235     -0.64469043
     0.20980392     -0.63276087


     0.21372549     -0.62171545
     0.21764706     -0.61085853
     0.22156863     -0.60006738


      0.2254902     -0.58895123
     0.22941176     -0.57667646
     0.23333333     -0.56444105
      0.2372549     -0.55224554


     0.24117647     -0.53892381
     0.24509804      -0.5250697
     0.24901961     -0.51123694


     0.25294118     -0.49751547
     0.25686275     -0.48424524
     0.26078431     -0.47098216
     0.26470588     -0.45772635


     0.26862745     -0.44414443
     0.27254902       -0.430427
     0.27647059     -0.41669643


     0.28039216     -0.40313579
     0.28431373     -0.38989172
     0.28823529     -0.37662133


     0.29215686     -0.36334699
     0.29607843     -0.35050812
            0.3      -0.3376336
     0.30392157     -0.32472265


     0.30784314     -0.31163729
     0.31176471     -0.29847626
     0.31568627     -0.28526866


     0.31960784     -0.27235104
     0.32352941     -0.25954614
     0.32745098     -0.24667922


     0.33137255     -0.23429295
     0.33529412      -0.2222118
     0.33921569     -0.21005574


     0.34313725     -0.19847335
     0.34705882     -0.18723738
     0.35098039     -0.17591489


     0.35490196     -0.16600658
