#             x               p
           -0.5      0.63420946


    -0.49607843      0.60001679


    -0.49215686      0.57180235


    -0.48823529      0.54238189


    -0.48431373      0.51295022


    -0.48039216      0.48374869


    -0.47647059       0.4559246


    -0.47254902      0.42938938
    -0.46862745      0.40212835


    -0.46470588      0.37485259


    -0.46078431      0.34799084
    -0.45686275      0.32117831


    -0.45294118      0.29489058
    -0.44901961      0.26917354


    -0.44509804      0.24366664


    -0.44117647      0.21880807
     -0.4372549      0.19257739


    -0.43333333      0.16707545
    -0.42941176      0.14192057


     -0.4254902      0.11733227
    -0.42156863     0.093775264
    -0.41764706     0.070664083


    -0.41372549     0.046719733
    -0.40980392     0.022976878


    -0.40588235   -0.0010134667
    -0.40196078    -0.025082227


    -0.39803922     -0.04883237
    -0.39411765    -0.072384545
    -0.39019608    -0.095681836


    -0.38627451     -0.11769285
    -0.38235294       -0.139152


    -0.37843137     -0.16034202
     -0.3745098      -0.1807851
    -0.37058824     -0.20109453


    -0.36666667     -0.22140869
     -0.3627451     -0.24174559
    -0.35882353       -0.261969


    -0.35490196     -0.28170641
    -0.35098039     -0.30120613
    -0.34705882      -0.3206222


    -0.34313725     -0.33938607
    -0.33921569     -0.35799753
    -0.33529412      -0.3765531


    -0.33137255     -0.39460885
    -0.32745098     -0.41258678
    -0.32352941     -0.43053064


    -0.31960784     -0.44877131
    -0.31568627     -0.46703892
    -0.31176471     -0.48529107


    -0.30784314     -0.50309587
    -0.30392157     -0.52078692
           -0.3     -0.53849693


    -0.29607843     -0.55458918
    -0.29215686     -0.56952814
    -0.28823529     -0.58451431


    -0.28431373     -0.59903639
    -0.28039216     -0.61247961
    -0.27647059     -0.62598463
    -0.27254902      -0.6395503


    -0.26862745     -0.65364619
    -0.26470588      -0.6678241
    -0.26078431     -0.68206824


    -0.25686275     -0.69567532
    -0.25294118      -0.7088128
    -0.24901961     -0.72203633


    -0.24509804     -0.73523069
    -0.24117647     -0.74728887
     -0.2372549     -0.75945862
    -0.23333333     -0.77173831


    -0.22941176      -0.7835685
     -0.2254902     -0.79503985
    -0.22156863     -0.80661322
    -0.21764706     -0.81828727


    -0.21372549     -0.82867066
    -0.20980392     -0.83908648
    -0.20588235      -0.8496073


    -0.20196078     -0.85982132
    -0.19803922     -0.86917822
    -0.19411765     -0.87865071
    -0.19019608     -0.88823753


    -0.18627451      -0.8970438
    -0.18235294     -0.90536956
    -0.17843137      -0.9138292
     -0.1745098     -0.92242141


    -0.17058824     -0.93121235
    -0.16666667     -0.94013872
     -0.1627451     -0.94918619


    -0.15882353     -0.95827943
    -0.15490196     -0.96597762
    -0.15098039     -0.97381335
    -0.14705882     -0.98178554


    -0.14313725     -0.98910507
    -0.13921569     -0.99360553
    -0.13529412     -0.99825131
    -0.13137255      -1.0030414


    -0.12745098      -1.0074463
    -0.12352941      -1.0109549
    -0.11960784      -1.0146039
    -0.11568627      -1.0183926


    -0.11176471      -1.0222881
    -0.10784314      -1.0262781
    -0.10392157      -1.0304029
           -0.1      -1.0346618


   -0.096078431      -1.0381467
   -0.092156863      -1.0408534
   -0.088235294         -1.0437
   -0.084313725      -1.0466859


   -0.080392157      -1.0498951
   -0.076470588      -1.0533178
    -0.07254902      -1.0568818
   -0.068627451      -1.0605866


   -0.064705882      -1.0635683
   -0.060784314      -1.0660161
   -0.056862745      -1.0686175
   -0.052941176       -1.071372


   -0.049019608      -1.0717968
   -0.045098039      -1.0704229
   -0.041176471      -1.0691956
   -0.037254902      -1.0681145


   -0.033333333      -1.0675875
   -0.029411765      -1.0675413
   -0.025490196      -1.0676424
   -0.021568627      -1.0678907


   -0.017647059      -1.0673189
    -0.01372549      -1.0660314
  -0.0098039216      -1.0648808
  -0.0058823529      -1.0638668


  -0.0019607843      -1.0624504
   0.0019607843      -1.0606512
   0.0058823529      -1.0589965
   0.0098039216      -1.0574863


     0.01372549       -1.055691
    0.017647059      -1.0535717
    0.021568627      -1.0515906
    0.025490196      -1.0497479


    0.029411765      -1.0464654
    0.033333333      -1.0414602
    0.037254902      -1.0365954
    0.041176471      -1.0318714


    0.045098039      -1.0272669
    0.049019608      -1.0227672
    0.052941176      -1.0183957
    0.056862745      -1.0141526


    0.060784314      -1.0088832
    0.064705882      -1.0022606
    0.068627451     -0.99575855
     0.07254902     -0.98937739


    0.076470588     -0.98282347
    0.080392157      -0.9760277
    0.084313725     -0.96934893
    0.088235294     -0.96278764


    0.092156863     -0.95582544
    0.096078431     -0.94841345
            0.1      -0.9411139
     0.10392157     -0.93392733


     0.10784314     -0.92620829
     0.11176471     -0.91802613
     0.11568627     -0.90994686
     0.11960784     -0.90197107


     0.12352941     -0.89411163
     0.12745098     -0.88635924
     0.13137255     -0.87870539
     0.13529412     -0.87115074


     0.13921569     -0.86213868
     0.14313725     -0.85261913
     0.14705882     -0.84319149
     0.15098039     -0.83385643


     0.15490196     -0.82365568
     0.15882353     -0.81340525
      0.1627451     -0.80325352


     0.16666667     -0.79311781
     0.17058824     -0.78148701
      0.1745098     -0.76991974
     0.17843137     -0.75841661


     0.18235294     -0.74689228
     0.18627451     -0.73519619
     0.19019608     -0.72354743
     0.19411765     -0.71194647


     0.19803922     -0.70139329
     0.20196078     -0.69171899
     0.20588235     -0.68210147
     0.20980392      -0.6725414


     0.21372549     -0.66196809
     0.21764706     -0.65129667
     0.22156863     -0.64068873


      0.2254902     -0.62940457
     0.22941176     -0.61588916
     0.23333333     -0.60242043
      0.2372549     -0.58899903


     0.24117647     -0.57603332
     0.24509804     -0.56329669
     0.24901961     -0.55059243


     0.25294118     -0.53782488
     0.25686275     -0.52460875
     0.26078431     -0.51140591
     0.26470588     -0.49821659


     0.26862745     -0.48447089
     0.27254902     -0.47051379
     0.27647059     -0.45655788


     0.28039216     -0.44263503
     0.28431373     -0.42877011
     0.28823529     -0.41490333


     0.29215686     -0.40105934
     0.29607843     -0.38769961
            0.3     -0.37430419
     0.30392157     -0.36087228


     0.30784314     -0.34777794
     0.31176471     -0.33472446
     0.31568627     -0.32162598


     0.31960784     -0.30801813
     0.32352941     -0.29411822
     0.32745098     -0.28015769


     0.33137255     -0.26697012
     0.33529412     -0.25428826
     0.33921569     -0.24153035


     0.34313725     -0.22946122
     0.34705882     -0.21781453
     0.35098039     -0.20608077


     0.35490196     -0.19501107
