Pressure coefficient as a function of the angle for a cylinder with h/D=0.2. The angle is 0 at front of the cylinder and it is oriented clockwise
   \theta(degrees)   C_p
1.36125963782  0.809651118135
2.74282215377  0.773068339595
5.50691398938  0.707224977911
7.34867507607  0.656007208059
8.26617180639  0.604770639245
10.5671646601  0.531595682684
12.4060253356  0.458411326643
15.1672167601  0.37060137877
17.9235741659  0.246180453914
20.6818651792  0.136403919852
23.4362889776  -0.00266139579602
26.1926463835  -0.127082320651
28.9461033782  -0.273469831696
31.7034275877  -0.390568561154
34.0005532266  -0.493032299301
36.2976788654  -0.595496037448
37.207441166  -0.705310169432
39.5084340197  -0.778485125993
41.8074932659  -0.866304473347
43.6473207452  -0.932166633992
46.4094789734  -1.01265438647
50.0968683616  -1.08580114459
52.8619270009  -1.14432231088
56.5531836041  -1.18818028741
60.2512078333  -1.18078289617
63.4938675103  -1.12213953663
68.1277577405  -1.02685700167
72.7568139521  -0.968185443696
82.0033247306  -0.938708672498
86.6246465124  -0.938614677692
93.0954638107  -0.931160889567
100.489578662  -0.931010497877
106.959429156  -0.930878905148
113.893345436  -0.916093522147
119.438931574  -0.915980728379
126.369947443  -0.923161931566
131.453401403  -0.92305853728
138.848483058  -0.915585950193
147.165895462  -0.922738954939
156.871638007  -0.91521937045
164.727885036  -0.915059579279
173.047231047  -0.907568193232
180.902511273  -0.914730597458
188.758758302  -0.914570806287
196.615005331  -0.914411015117
204.470285556  -0.921573419343
214.175061298  -0.92137603025
222.031308327  -0.92121623908
230.811819713  -0.921037648948
238.20496776  -0.928209452655
247.907809894  -0.942656454355
254.840759371  -0.935193266749
259.460147545  -0.949743662736
263.154304559  -0.97163505308
265.458197824  -1.02284342345
268.685388642  -1.08135519026
270.989281907  -1.13256356063
274.217439528  -1.18375313204
276.528100419  -1.18370613464
279.771726899  -1.11774057971
282.089155416  -1.06643821453
284.87355013  -0.978515472888
287.198713077  -0.868635544539
290.452007595  -0.729448035643
292.31407156  -0.626899702171
294.175168721  -0.531673564095
296.035299078  -0.443769621416
298.358528417  -0.348534083859
299.753626185  -0.28260612685
301.151624365  -0.194711583651
303.475820508  -0.0921538506986
306.264082436  0.0250576725275
308.124212793  0.112961615207
310.911507918  0.222850943036
312.770671472  0.303432690319
315.091967204  0.384023837083
317.879262329  0.493913164913
322.517986578  0.625806676854
327.156710826  0.757700188795
330.401304111  0.830987939124
333.180864806  0.882299703782
336.423524483  0.940943063318
341.050647087  0.984970230502
346.599133636  1.00704961046
352.144719775  1.00716240423
358.152438091  1.00728459747
